,1,2,3,4,5,6,7,8
A,200,200,B1,B1,B1,B1,T0,T0
B,100,100,B2,B2,B2,B2,T0,T0
C,50,50,B3,B3,B3,B3,NA,NA
D,20,20,C1,C1,C1,C1,NA,NA
E,10,10,C2,C2,C2,C2,NA,NA
F,blank,blank,C3,C3,C3,C3,NA,NA
